test00235,407359.914,7400125.399,0.167,56
test00236,407359.618,7400125.266,0.144,56
test00237,407359.296,7400125.158,0.178,56
test00238,407358.948,7400125.117,0.291,56
test00239,407358.627,7400124.918,0.319,56
test00240,407358.219,7400124.741,0.346,56
test00241,407357.866,7400124.612,0.425,56
test00242,407357.594,7400124.418,0.465,56
test00243,407357.311,7400124.39,0.524,56
test00244,407357.042,7400124.36,0.58,56
test00245,407356.773,7400124.278,0.628,56
test00246,407356.469,7400124.058,0.642,56
test00247,407356.124,7400123.991,0.697,56
test00248,407355.817,7400123.884,0.79,56
test00249,407355.583,7400123.767,0.872,56
test00250,407355.298,7400123.697,0.922,56
test00251,407355.004,7400123.618,1.017,56
test00252,407354.736,7400123.419,1.14,56
test00253,407354.374,7400123.365,1.254,56
test00254,407354.113,7400123.305,1.302,56
test00255,407353.767,7400123.075,1.337,56
test00256,407353.48,7400123.087,1.389,56
test00257,407353.21,7400122.95,1.338,56
test00258,407352.9,7400122.816,1.335,56
test00259,407352.545,7400122.793,1.258,56
test00260,407352.144,7400122.639,1.305,56
test00261,407351.899,7400122.557,1.391,56
test00262,407351.439,7400122.559,1.62,56
test00263,407351.174,7400122.502,1.911,56
test00264,407350.789,7400122.547,2.0,56
test00265,407350.537,7400122.522,2.076,56
test00266,407350.25,7400122.416,2.083,56
test00267,407349.883,7400122.347,2.062,56
test00268,407349.568,7400122.31,1.995,56
test00269,407349.306,7400122.165,1.927,56
test00270,407348.936,7400122.068,1.851,56
test00271,407348.692,7400121.99,1.856,56
test00272,407348.447,7400121.915,1.83,56
test00273,407348.122,7400121.902,1.833,56
test00274,407347.703,7400121.806,1.711,56
test00275,407347.291,7400121.678,1.637,56
test00276,407346.841,7400121.617,1.68,56
test00277,407346.564,7400121.593,1.64,56
test00278,407346.263,7400121.544,1.749,56
test00279,407345.942,7400121.489,1.686,56
test00280,407345.531,7400121.396,1.745,56
test00281,407345.239,7400121.278,1.796,56
test00282,407344.949,7400121.1,1.66,56
test00283,407344.682,7400120.925,1.712,56
test00284,407344.414,7400120.662,1.718,56
test00285,407344.338,7400120.347,1.767,56
